,artwork,titleLabel,materialLabel,genreLabel,collectionLabel,depictLabel,movementLabel,subjectLabel,creatorBirthPlaceLabel,creatorCountryLabel,creatorLabel,genderLabel,inceptionLabel,widthLabel,heightLabel,image,startTime,locLabel,artworkLabel,locatedLabel,endTime,countryLabel,instanceOfLabel,num_creators
41,http://www.wikidata.org/entity/Q1314013,Les Sabines,oil paint; canvas,history painting,Department of Paintings of the Louvre,"shield; Rape of the Sabine Women; spear; Sabines; Romulus; temperance; combat; War trophy; Ancient Rome; combat helmet; Titus Tatius; child; horse; woman; hero; toddler; nudity; clothed male, naked female; man; fortification",neoclassicism,,Paris,France,Jacques-Louis David,male,1798,[522.0],[385.0],http://commons.wikimedia.org/wiki/Special:FilePath/The%20Intervention%20of%20the%20Sabine%20Women.jpg,{'nan'},Louvre Museum,The Intervention of the Sabine Women,,,France,painting,1
42,http://www.wikidata.org/entity/Q14940739,Saint Sébastien soigné par Irène,oil paint; canvas,religious art,Department of Paintings of the Louvre,death; night; torch; Irene of Rome; Saint Sebastian; tear; arrow; woman,Caravaggisti; classicism,Saint Sebastian tended by Saint Irene,Vic-sur-Seille,France,Georges de La Tour,male,1649,[131.0],[167.0],http://commons.wikimedia.org/wiki/Special:FilePath/Georges%20de%20La%20Tour%20-%20St%20Sebastien%20Attended%20by%20St%20Irene%20-%20WGA12342.jpg,{'nan'},Louvre Museum,Saint Sebastian Attended by Saint Irene,,,France,painting,1
44,http://www.wikidata.org/entity/Q15617821,,oil paint; canvas,portrait,Department of Paintings of the Louvre,Hand-in-waistcoat; ring; necktie; 1795–1820 clothing; smile; wall; black hair; vest; frock coat; table; stocking; book; breeches; sitting; study; dress shirt; Philibert Rivière; man; fauteuil,Romanticism,,Montauban,France,Jean Auguste Dominique Ingres,male,1805,"[89.0, 46.0]","[116.0, 46.0]",http://commons.wikimedia.org/wiki/Special:FilePath/Jean%20Auguste%20Dominique%20Ingres%20-%20Monsieur%20Rivi%C3%A8re%20-%20WGA11836.jpg,{'nan'},Louvre Museum,Portrait of Philibert Rivière,,,France,painting,1
45,http://www.wikidata.org/entity/Q15868155,,oil paint; canvas,religious art,Department of Paintings of the Louvre,crown of thorns; swagger stick; Ecce Homo,Baroque,Ecce Homo,Bologna,Italy,Guido Reni,male,1639,[48.0],[62.0],http://commons.wikimedia.org/wiki/Special:FilePath/Guido%20reni%2C%20ecce%20homo%2C%201639-40%20ca..JPG,{'nan'},Louvre Museum,Ecce Homo,,,France,painting,1
46,http://www.wikidata.org/entity/Q15934387,,wood; oil paint,portrait,Department of Paintings of the Louvre,hat; man; dog; overcoat,High Renaissance,,Utrecht,Netherlands,Antonis Mor,male,1549,[92.0],[126.0],http://commons.wikimedia.org/wiki/Special:FilePath/Cardinal%20Granvelle%27s%20Dwarf.jpg,{'nan'},Louvre Museum,Cardinal Granvelle's Dwarf,,,France,painting,1
47,http://www.wikidata.org/entity/Q15934397,,oil paint; canvas,nude; religious art,Department of Paintings of the Louvre,barefoot; pigeon; intergluteal cleft; pigtail; brown hair; Jesus; malleolus; beard; chignon; umbilicus; white hair; buttocks; landscape; back; aerial perspective; Dimples of Venus; blond hair; shore; sole; baptism; nipple; waist; sitting; group of humans; nudity; standing; man; tree; Holy Spirit; chestnut hair; Jordan River; John the Baptist,Mannerism,Baptism of Jesus,Haarlem,Netherlands,Cornelis van Haarlem,male,1588,[206.0],[170.0],http://commons.wikimedia.org/wiki/Special:FilePath/Cornelis%20van%20Haarlem%20-%20Doopsel%20van%20Christus.jpg,{'nan'},Louvre Museum,The Baptism of Christ,,,France,painting,1
48,http://www.wikidata.org/entity/Q15934814,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Virgin Mary,Baroque painting,Madonna and Child,Paris,France,Simon Vouet,male,1640,[77.0],[97.0],http://commons.wikimedia.org/wiki/Special:FilePath/Vouet%20Simon%20Vierge%20Hesselin.jpg,{'nan'},Louvre Museum,Madonna and child,,,France,painting,1
49,http://www.wikidata.org/entity/Q15934829,,oil paint; oak,religious art,Department of Paintings of the Louvre,city; hill; Mary Magdalene; John the Apostle; Virgin Mary; landscape; Jesus,Flemish Primitives,Pietà,Haarlem,Netherlands,Dieric Bouts,male,1460,[49.0],[69.0],http://commons.wikimedia.org/wiki/Special:FilePath/0%20D%C3%A9ploration%20du%20Christ%20-%20Dirk%20Bouts%20-%20RF%201%20-%20Louvre%202%20.JPG,{'nan'},Louvre Museum,The Lamentation over the dead Christ,,,France,painting,1
50,http://www.wikidata.org/entity/Q15935001,Der Condottiere,wood; oil paint,portrait,Department of Paintings of the Louvre,man,Renaissance painting; Early Renaissance,,Messina,Italy,Antonello da Messina,male,1475,[30.0],"[36.0, 36.2]",http://commons.wikimedia.org/wiki/Special:FilePath/Antonello%20da%20Messina%20059.jpg,{'nan'},Louvre Museum,"Portrait of a Man, called  condottiere",,,France,painting,1
51,http://www.wikidata.org/entity/Q15935036,,wood; oil paint,religious art,Department of Paintings of the Louvre,mother; boy; woman; Virgin Mary; Child Jesus,Florentine School; Early Renaissance,Madonna and Child,Florence,Italy,Sandro Botticelli,male,1465,[49.5],[73.0],http://commons.wikimedia.org/wiki/Special:FilePath/Botticelli%20-%20Madone%20des%20Guidi%20de%20Faenza.jpg,{'nan'},Louvre Museum,Madonna and Child,,,France,painting,1
52,http://www.wikidata.org/entity/Q15974340,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Saint Maurice; mother; Stephen; boy; sitting; woman; Virgin Mary; Jerome; Child Jesus,High Renaissance; Venetian school,sacra conversazione,Pieve di Cadore,Italy,Titian,male,1510,[137.0],[110.0],http://commons.wikimedia.org/wiki/Special:FilePath/Tizian%20044.jpg,{'nan'},Louvre Museum,"Madonna and Child with St. Stephen, St. Jerome and St. Mauritius",,,France,painting,1
54,http://www.wikidata.org/entity/Q1608116,La Vierge et l'Enfant en majesté entourés de six anges (Maestà),gold; tempera; poplar wood,religious art,Department of Paintings of the Louvre,mother; boy; woman; Virgin Mary; Child Jesus,Trecento,Madonna and Child,Florence,Italy,Cimabue,male,1280,[280.0],[427.0],http://commons.wikimedia.org/wiki/Special:FilePath/Cimabue%20032.jpg,{'nan'},Louvre Museum,The Madonna and Child in Majesty Surrounded by Angels,,,France,painting,1
56,http://www.wikidata.org/entity/Q16690724,,oil paint; canvas,self-portrait,Department of Paintings of the Louvre,Nicolas Poussin; painting; man; painter,classicism,Nicolas Poussin,Les Andelys,France,Nicolas Poussin,male,1650,[74.0],[98.0],http://commons.wikimedia.org/wiki/Special:FilePath/Nicolas%20Poussin%20078.jpg,{'nan'},Louvre Museum,Self-portrait,,,France,painting,1
57,http://www.wikidata.org/entity/Q16735763,La Vierge à l'Enfant entourée des saints Innocents,wood; oil paint; canvas,religious art,Department of Paintings of the Louvre,mantle; nudity; dress; blond hair; cloud; mother; putto; boy; martyr; woman; angel; palm branch; Virgin Mary; headscarf; Child Jesus,Flemish Baroque painting,Madonna and Child,Siegen,Germany,Peter Paul Rubens,male,1615,[100.0],[138.0],http://commons.wikimedia.org/wiki/Special:FilePath/0%20La%20Vierge%20%C3%A0%20l%27Enfant%20entour%C3%A9e%20des%20saints%20Innocents%20-%20Louvre%20-%20Inv%201753%20-%20%281%29.JPG,{'nan'},Louvre Museum,The Virgin and Child surrounded by the Holy Innocents,,,France,painting,1
58,http://www.wikidata.org/entity/Q16978190,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Matthew the Apostle; reading; John the Evangelist; writing; Mark the Evangelist; Four Evangelists; Luke the Evangelist; book,Baroque; Flemish Baroque painting,,Antwerp,Belgium,Jacob Jordaens,male,1617,[118.0],[134.0],http://commons.wikimedia.org/wiki/Special:FilePath/Jakob%20Jordaens%20002.jpg,{'nan'},Louvre Museum,The Four Evangelists,,,France,painting,1
59,http://www.wikidata.org/entity/Q17304998,Pygmalion amoureux de sa statue; Pygmalion et Galatée,oil paint; canvas,nude; mythological painting,Department of Paintings of the Louvre,"love; rose; gynoid; toga; Pygmalion; Galatea; sky; statue; sculptor; Roman temple; clothing in ancient Rome; smoke; eye contact; chignon; umbilicus; sandal; drapery; blond hair; Cupid; woman; glabrousness; clothed male, naked female; standing; man; Eros; chestnut hair; contrapposto",neoclassicism; Romanticism,art of sculpture; Pygmalion and Galatea,Montargis,France,Anne-Louis Girodet de Roussy-Trioson,male,1819,[202.0],[253.0],http://commons.wikimedia.org/wiki/Special:FilePath/0%20Pygmalion%20et%20Galat%C3%A9e%20-%20A-L.%20Girodet%20-%20RF%202002-4%20-%20Louvre%202.JPG,{'nan'},Louvre Museum,Anne-Louis Girodet - Pygmalion & Galatée,,,France,painting,1
60,http://www.wikidata.org/entity/Q17353183,,wood; oil paint,portrait,Department of Paintings of the Louvre,Helena Fourment,Flemish Baroque painting,Helena Fourment,Siegen,Germany,Peter Paul Rubens,male,1639,[132.0],[195.0],http://commons.wikimedia.org/wiki/Special:FilePath/H%C3%A9l%C3%A8ne%20Fourment%20au%20carrosse%2C%20Louvre.jpg,{'nan'},Louvre Museum,Helena Fourment with a carriage,,,France,painting,1
61,http://www.wikidata.org/entity/Q17442910,,oil paint; canvas,history painting,Department of Paintings of the Louvre,barefoot; soldier; toplessness; domestic worker; cuirass; clothing in ancient Rome; beard; snakebite; chignon; Mark Antony; headband; kneeling; turban; sandal; suicide; Cleopatra; aspic viper; nipple; major trauma; sitting; areola; woman; cadaver; Agony; standing; man; lying; gladius; breast; male toplessness,Q3578530,death of Cleopatra,Verona,Italy,Alessandro Turchi,male,1640,[267.0],[255.0],http://commons.wikimedia.org/wiki/Special:FilePath/Turchi%20Alessandro%20La%20mort%20de%20Cl%C3%A9op%C3%A2tre.jpg,{'nan'},Louvre Museum,Death of Cleopatra,,,France,painting,1
81,http://www.wikidata.org/entity/Q17492017,,oil paint; canvas,genre art,Musée d'Orsay; Pierre Goujon; Gallery Druet; Bernheim-Jeune; Department of Paintings of the Louvre; Luxembourg Museum,Q18736713,Post-Impressionism; expressionism,coffeehouse,Zundert,Netherlands,Vincent van Gogh,male,1886,[64.0],[49.0],http://commons.wikimedia.org/wiki/Special:FilePath/Van%20Gogh%20-%20Gartenlokal%20%22La%20Guinguette%22%20auf%20dem%20Montmartre.jpg,{'nan'},Louvre Museum,Terrace of a Cafe on Montmartre (La Guinguette),,,France,painting,1
128,http://www.wikidata.org/entity/Q17627408,,oil paint,portrait,Department of Paintings of the Louvre,Paulus van Beresteyn,Baroque; Dutch Golden Age painting,Paulus van Beresteyn,Antwerp,Belgium,Frans Hals,male,1620,[102.5],[139.5],http://commons.wikimedia.org/wiki/Special:FilePath/Frans%20Hals%20-%20Paulus%20Beresteyn%2C%20rechter%20te%20Haarlem.jpg,{'nan'},Louvre Museum,Portrait of Paulus van Beresteyn,,,France,painting,1
130,http://www.wikidata.org/entity/Q17796696,,oil paint; canvas,portrait,Department of Paintings of the Louvre,Q17796505,Romanticism,Q17796505,Montauban,France,Jean Auguste Dominique Ingres,male,1826,[74.0],[93.0],http://commons.wikimedia.org/wiki/Special:FilePath/Ingres%20Madame%20Marie%20Marcotte.jpg,{'nan'},Louvre Museum,Portrait of Madame Marcotte de Sainte-Marie,,,France,painting,1
132,http://www.wikidata.org/entity/Q18177751,Autoportrait,oil paint; canvas,self-portrait,Department of Paintings of the Louvre,jacket; palette; eyebrow; canvas; man; Jean-Baptiste Camille Corot; brown hair; sitting; easel; trousers; stretcher; foulard,Realism,Jean-Baptiste Camille Corot,rue du Bac; Paris,France,Jean-Baptiste Camille Corot,male,1825,[24.5],[32.5],http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Baptiste%20Camille%20Corot%20-%201er%20autoportrait.jpg,{'nan'},Louvre Museum,Corot at his easel,,,France,painting,1
133,http://www.wikidata.org/entity/Q18209062,,oil paint; canvas,portrait,Department of Paintings of the Louvre,bijou; woman,Q3578530; Mannerism,,Verona,Italy,Paolo Veronese,male,1560,[103.0],[119.0],http://commons.wikimedia.org/wiki/Special:FilePath/Paolo%20Veronese%20040.jpg,{'nan'},Louvre Museum,Portrait of a Venetian Woman,,,France,painting,1
134,http://www.wikidata.org/entity/Q18226124,,oil paint,self-portrait,Department of Paintings of the Louvre,collar; hat; man; architecture; Rembrandt; painter,Dutch Golden Age painting,Rembrandt,Leiden,Netherlands,Rembrandt,male,1640,[62.0],[80.0],http://commons.wikimedia.org/wiki/Special:FilePath/Rembrandt%2C%20autoritratto%20col%20tocco%20su%20sfondo%20architettonico%2C%201639%2002.jpg,{'nan'},Louvre Museum,Self-portrait with architectural elements in the background,,,France,painting,1
135,http://www.wikidata.org/entity/Q1848811,,oil paint; canvas,High Renaissance; portrait,Department of Paintings of the Louvre,man,High Renaissance; Venetian school,,Pieve di Cadore,Italy,Titian,male,1520,[89.0],[100.0],http://commons.wikimedia.org/wiki/Special:FilePath/Tizian%20079.jpg,{'nan'},Louvre Museum,Man with a Glove,,,France,painting,1
136,http://www.wikidata.org/entity/Q185255,Les Noces de Cana,oil paint; canvas,religious art; Mannerism,Department of Paintings of the Louvre,column; Architecture; palace; crock; sky; entablature; Suleiman the Magnificent; Titian; domestic worker; clothing in the ancient world; Charles V; Jesus; Banquete; miracles of Jesus; frieze; campanile; table; Francis I of France; terrace; dog; capital; painter; disguise; violin; Andrea Palladio; musician; Jacopo Tintoretto; sculpture in the round; Marriage at Cana; sitting; balustrade; wedding; Jacopo Bassano; cloud; standing; man; viol; architecture; architect,Q3578530; Mannerism,Marriage at Cana,Verona,Italy,Paolo Veronese,male,1563,[994.0],[677.0],http://commons.wikimedia.org/wiki/Special:FilePath/Paolo%20Veronese%20008.jpg,"{'1563', 'nan'}",Louvre Museum,The Wedding at Cana,,,France,painting,1
138,http://www.wikidata.org/entity/Q18565594,Hl. Sebastian,tempera; oil paint; canvas,religious art,Department of Paintings of the Louvre,Saint Sebastian,Italian Renaissance,martyrdom of Saint Sebastian,Piazzola sul Brenta,Italy,Andrea Mantegna,male,1480,[140.0],[255.0],http://commons.wikimedia.org/wiki/Special:FilePath/Andrea%20Mantegna%20088.jpg,{'nan'},Louvre Museum,St. Sebastian,,,France,painting,1
139,http://www.wikidata.org/entity/Q18565841,,wood; oil paint,religious art,Department of Paintings of the Louvre,Jesus,Renaissance,crucifixion of Jesus,Venice,Italy,Giovanni Bellini,male,1467,[63.0],[71.0],http://commons.wikimedia.org/wiki/Special:FilePath/Giovanni%20Bellini%20-%20The%20Calvary%20-%20WGA1647.jpg,{'nan'},Louvre Museum,Calvary,,,France,painting,1
140,http://www.wikidata.org/entity/Q18565843,,oil paint; panel,religious art,Department of Paintings of the Louvre,Peter; Saint Sebastian; Virgin Mary; Child Jesus,Renaissance,Madonna and Child,Venice,Italy,Giovanni Bellini,male,1487,[58.7],[82.7],http://commons.wikimedia.org/wiki/Special:FilePath/Giovanni%20Bellini%20-%20Madonna%20and%20child%20with%20St%20Peter%20and%20St%20Sebastian.jpg,{'nan'},Louvre Museum,Madonna and Child with St. Peter and St. Sebastian,,,France,painting,1
141,http://www.wikidata.org/entity/Q18565844,,wood; oil paint,religious art,Department of Paintings of the Louvre,Mary Magdalene; Peter; Saint George,Renaissance,Madonna and Child,Venice,Italy,Giovanni Bellini,male,1490,[124.0],[73.0],http://commons.wikimedia.org/wiki/Special:FilePath/Bellini%20-%20Vierge%20et%20l%27Enfant%20entour%C3%A9s%20de%20saints%2C%20Louvre%20RF%202097.jpg,{'nan'},Louvre Museum,Madonna and Child with Saints,,,France,painting,1
142,http://www.wikidata.org/entity/Q18565847,,wood; oil paint,religious art,Department of Paintings of the Louvre,Augustine of Hippo,Renaissance,Augustine of Hippo,Venice,Italy,Giovanni Bellini,male,1470,[40.0],[125.0],http://commons.wikimedia.org/wiki/Special:FilePath/Bellini%20-%20Saint%20Augustin%2C%20Louvre%20DL%201980-1.jpg,{'nan'},Louvre Museum,St. Augustine,,,France,painting,1
143,http://www.wikidata.org/entity/Q18565848,,wood; oil paint,religious art,Department of Paintings of the Louvre,Anthony the Great,Renaissance,,Venice,Italy,Giovanni Bellini,male,1470,[40.0],[125.0],http://commons.wikimedia.org/wiki/Special:FilePath/Bellini%20-%20Saint%20Antoine%2C%20Louvre%20DL%201980-2.jpg,{'nan'},Louvre Museum,St. Anthony,,,France,painting,1
144,http://www.wikidata.org/entity/Q18565857,,poplar wood; canvas; oil paint,religious art,Department of Paintings of the Louvre,Saint Veronica; Holy Face of Jesus; smile; Veil of Veronica,Italian Renaissance,Veil of Veronica held up by Veronica,Ferrara,Italy,Lorenzo Costa,male,1508,[54.0],[64.7],http://commons.wikimedia.org/wiki/Special:FilePath/Sainte%20V%C3%A9ronique%20-%20Lorenzo%20Costa%20-%20Q18565857.jpg,{'nan'},Louvre Museum,St. Veronica,,,France,painting,1
145,http://www.wikidata.org/entity/Q18565873,,wood; oil paint,portrait,Department of Paintings of the Louvre,sky; bonnet; man,Renaissance,,Venice,Italy,Giovanni Bellini,male,1490,[25.5],[32.8],http://commons.wikimedia.org/wiki/Special:FilePath/Giovanni%20bellini%2C%20ritratto%20d%27uomo%2C%201490-95%20ca..JPG,{'nan'},Louvre Museum,Portrait of a Man,,,France,painting,1
146,http://www.wikidata.org/entity/Q18565885,,oil paint; canvas,religious art,Department of Paintings of the Louvre,hermit; city; bishop; hill; relief sculpture; Zenobius of Florence; prayer; Child Jesus; Jerome; Eve,High Renaissance,,Florence,Italy,Mariotto Albertinelli,male,1506,[176.0],[186.0],http://commons.wikimedia.org/wiki/Special:FilePath/Albertinelli%20Franciabigio%20Vi%C3%A8rge%20et%20saints.jpg,{'nan'},Louvre Museum,Madonna and Child with Sts. Jerome and Zenobius,,,France,painting,1
147,http://www.wikidata.org/entity/Q18565887,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Mary Magdalene,Renaissance,Noli me tangere,Prato,Italy,Fra Bartolomeo,male,1506,[48.0],[57.0],http://commons.wikimedia.org/wiki/Special:FilePath/Fra%20bartolomeo%2C%20noli%20me%20tangere%2C%201506%20ca..JPG,{'nan'},Louvre Museum,Noli me tangere,,,France,painting,1
148,http://www.wikidata.org/entity/Q18565892,,wood; oil paint,religious art,Department of Paintings of the Louvre,column; container; Margaret the Virgin; pigeon; Paul; sword; throne; Holy Spirit; Francis of Assisi; Mary Magdalene; Virgin Mary; John the Baptist,Renaissance,,Prato,Italy,Fra Bartolomeo,male,1515,[76.0],[96.0],http://commons.wikimedia.org/wiki/Special:FilePath/Fra%20bartolomeo%2C%20incarnazione%20di%20cristo%2C%201515%2C%2001.JPG,{'nan'},Louvre Museum,Incarnation of Christ,,,France,painting,1
149,http://www.wikidata.org/entity/Q18565899,,oil paint; canvas,religious art,Department of Paintings of the Louvre,Elizabeth; Holy Family; Virgin Mary; John the Baptist; Child Jesus; child,High Renaissance,Madonna and Child,Florence,Italy,Andrea del Sarto,male,1512,[87.0],[106.0],http://commons.wikimedia.org/wiki/Special:FilePath/Del%20Sarto%20-%20Vierge%20%C3%A0%20l%27enfant%2C%20INV%20714.png,{'nan'},Louvre Museum,Madonna and Child with St. Elisabeth and the Infant St. John,,,France,painting,1
150,http://www.wikidata.org/entity/Q18565904,,wood; oil paint,religious art,Department of Paintings of the Louvre,Virgin Mary; John the Baptist; Child Jesus; child,Mannerism,Madonna and Child,Rome,Italy,Giulio Romano,male,1516,[25.4],[29.0],http://commons.wikimedia.org/wiki/Special:FilePath/Giulio%20romano%2C%20madonna%20col%20bambino%20e%20san%20giovannino%2C%201516%20ca..JPG,{'nan'},Louvre Museum,Madonna and Child with the Infant St. John,,,France,painting,1
151,http://www.wikidata.org/entity/Q18565905,,wood; oil paint,religious art,Department of Paintings of the Louvre,crowd; column; hen; synagogue; sett; ceiling; vault,Mannerism,Circumcision of Jesus,Rome,Italy,Giulio Romano,male,1525,[122.0],[115.0],http://commons.wikimedia.org/wiki/Special:FilePath/Giulio%20Romano%20-%20The%20Circumcision%20-%20WGA09617.jpg,{'nan'},Louvre Museum,Circumcision,,,France,painting,1
